symbol,current_value
TISCO-R.BK,97.0
TKC.BK,15.6
TKC-R.BK,15.6
TKN.BK,11.2
TKN-R.BK,11.03
TKS-R.BK,8.98
TLI.BK,9.25
TLI-R.BK,9.25
TMT.BK,5.3
TOA.BK,25.25
TOA-R.BK,27.49
TOG.BK,11.1
TOP.BK,53.5
TOP-R.BK,46.25
TPIPL.BK,1.35
TPIPL-R.BK,1.58
TPIPP.BK,3.3
TPIPP-R.BK,3.31
TQM.BK,25.5
TQM-R.BK,25.83
TRP-R.BK,11.9
TRUE.BK,8.6
TRUE-R.BK,6.87
TSTH.BK,0.77
TTA.BK,6.7
TTA-R.BK,6.67
TTB.BK,1.76
TTB-R.BK,1.76
TTCL.BK,3.8
TTCL-R.BK,4.04
TTW.BK,9.0
TTW-R.BK,8.55
TU.BK,15.0
TU-R.BK,13.01
TVO.BK,20.7
TVO-R.BK,25.35
UBE.BK,0.86
UBOT.BK,13.85
UHERO.BK,7.28
UNIQ.BK,3.1
UTP.BK,11.5
UTP-R.BK,11.2
UVAN.BK,8.45
VGI.BK,1.66
VGI-R.BK,2.86
VIBHA.BK,2.24
VIBHA-R.BK,2.77
VNG.BK,3.4
WARRIX.BK,5.65
WHA.BK,5.05
WHA-R.BK,4.86
WHAUP.BK,4.02
WHAUP-R.BK,3.56
WORK.BK,8.65
WP.BK,3.96
XO.BK,31.25
XPG.BK,1.25
XPG-R.BK,1.9
