symbol,calculation
STANLY-R,-58800.0
STAR5001,1283406.6
STEC,-3468560.0000000005
STEC-R,4631068.0
STGT,1194600.0
STGT-R,74600.0
STPI,17280.0
STPI-R,0.0
SUPER,0.0
SUPER-R,0.0
SUPEREIF,0.0
SUSCO,32760.0
SUSCO-R,-105792.0
SYNEX,46020.0
SYNEX-R,0.0
TASCO,-7649600.0
TASCO-R,-1024289.9999999999
TCAP,-2322600.0
TCAP-R,-143405.0
TDEX,0.0
TEAMG-R,0.0
TFG,0.0
TFG-R,190476.0
THANI,137564.0
THANI-R,-2635416.0
THCOM,0.0
THCOM-R,1501694.0
THG,400350.0
THG-R,123975.0
TIDLOR,-7164187.0
TIDLOR-R,-14140782.000000002
TIPH,696200.0
TIPH-R,-80731.0
TISCO,-2927225.0
TISCO-R,-1532600.0
TKC,102960.0
TKC-R,-179400.0
TKN,-1757280.0
TKN-R,1421767.0
TKS-R,0.0
TLI,1786175.0
TLI-R,50875.0
TMT,0.0
TOA,0.0
TOA-R,-2639040.0
TOG,274170.0
TOP,-13326850.0
TOP-R,-2072000.0
TPIPL,-15660.000000000002
TPIPL-R,166690.0
TPIPP,-234630.0
TPIPP-R,140344.0
TQM,206550.0
TQM-R,-204057.0
TRP-R,0.0
TRUE,-2530980.0
TRUE-R,-67048452.0
TSTH,0.0
TTA,0.0
TTA-R,-726363.0
TTB,3270256.0
TTB-R,2457664.0
TTCL,82080.0
TTCL-R,0.0
TTW,-551700.0
TTW-R,-271890.0
TU,-2794500.0
TU-R,-37441479.0
TVO,24840.0
TVO-R,344760.0
UBE,-173720.0
UBOT,0.0
UHERO,0.0
UNIQ,0.0
UTP,31050.0
UTP-R,0.0
UVAN,-19435.0
VGI,-4451622.0
VGI-R,1159444.0
VIBHA,-308672.00000000006
VIBHA-R,0.0
VNG,3060.0
WARRIX,-164415.0
WHA,371175.0
WHA-R,-1735992.0
WHAUP,-106127.99999999999
WHAUP-R,-156640.0
WORK,0.0
WP,50292.0
XO,0.0
XPG,-39000.0
XPG-R,522690.0
